,Actual,Predicted,Error
536,139720.0648,140645.546875,856517.0711463189
537,182299.608,183533.421875,1522296.6781424973
538,156152.5839,156843.265625,477041.24524897867
539,206749.1762,207552.703125,645655.5191999762
540,199791.4694,202251.71875,6052826.864175414
541,390153.1455,391473.6875,1743831.1737640419
542,209875.456,210423.9375,300831.95584224386
543,216063.7898,215572.65625,241212.1639356012
544,152739.0868,155533.015625,7806038.279165937
545,132741.4353,134023.9375,1644811.8930048095
546,296368.428,295586.75,611020.4956840225
547,238306.5343,237575.25,534776.727426489
548,300204.8069,310371.8125,103368002.87043086
549,162918.4002,163770.109375,725408.5187791743
550,148476.0166,149878.6875,1967485.6537068025
551,144052.7945,142570.015625,2198633.1921462333
552,202531.3688,204476.8125,3784751.1898697033
553,172422.7761,169078.828125,11181988.059506522
554,230993.3694,232941.59375,3795578.1179329385
555,119087.2104,117222.4296875,3477407.1057119938
556,128290.1526,129953.2421875,2765866.976050916
557,376987.5673,376571.1875,173372.13784803596
558,221112.1376,220694.390625,174512.53512164002
559,157719.3148,155708.28125,4044255.9392255736
560,200689.282,201492.59375,645309.767688052
561,205863.392,206201.03125,114000.26314056753
562,119308.1202,120218.25,828336.2528480312
563,148961.6719,141666.25,53223180.69899941
564,194558.8395,192559.3125,3998108.2237290074
565,187556.1899,190035.84375,6148683.215819835
566,160536.0682,159820.3125,512306.2220825026
567,163805.4442,165897.859375,4378201.264570288
568,213871.4867,212349.671875,2315920.3615898066
569,244948.7065,244892.90625,3113.667900062526
570,332592.3696,335394.1875,7850183.544760543
571,261507.2152,268246.6875,45420486.88246721
572,137850.3336,141050.96875,10244065.36341544
573,288694.0915,286999.125,2872911.4361221837
574,226000.5225,223160.4375,8066082.807224954
575,227397.7728,225701.671875,2876758.347785876
576,197145.9924,192335.515625,23140686.802814286
577,156429.6431,158133.578125,2903394.569421796
578,202545.8895,205194.078125,7012902.993579443
579,329904.5816,329720.71875,33805.54761011363
580,211924.5342,211329.125,354512.1154446336
581,193586.4204,193655.40625,4759.047500222127
582,252703.242,252392.09375,96813.23347806149
583,171580.014,169444.921875,4558618.382236997
584,302954.4221,300902.46875,4210512.550576326
585,231901.0268,241657.953125,95197611.31147815
586,332741.6466,336015.40625,10717502.245968265
587,210181.5815,207692.5625,6195215.5823610015
588,195870.9869,192953.875,8509541.837121546
589,160550.5445,160421.703125,16600.099911887806
590,144279.9145,146267.21875,3949378.182068009
591,288226.4534,289095.96875,756056.9438856251
592,138101.121,138313.453125,45084.93130700979
593,312446.9594,313613.375,1360525.3519233775
594,179560.3876,181784.484375,4946606.464565457
595,199764.0471,201313.203125,2399884.3897938128
596,141522.2568,143871.84375,5520558.835610289
597,249510.6831,251642.421875,4544310.204838523
598,164260.132,165313.296875,1109156.2539337396
599,207709.6051,209963.4375,5079760.487289823
600,225589.9021,226468.75,772373.6313343984
601,196413.8116,196374.8125,1520.9298008089359
602,165027.2756,164056.125,943133.4878803475
603,213987.5848,216596.984375,6808966.142010121
604,169115.393,171810.4375,7263264.856980191
605,165636.65566,167039.59375,1968235.2843728778
606,249717.1073,249066.28125,423574.5473586068
607,162037.8944,157175.640625,23641511.772501655
608,244163.4886,247806.25,13269710.617329877
609,163836.4586,165986.71875,4623618.712677968
610,322392.1053,322448.03125,3127.7118834029898
611,316002.677,315814.78125,35304.81286807195
612,152375.0157,153620.8125,1552009.6668902673
613,235287.6872,233330.609375,3830153.613106675
614,200569.0308,201105.375,287665.1008736317
615,172534.2602,169692.6875,8074535.409385231
616,156314.403,153827.765625,6183365.434746847
617,121067.5295,120647.5078125,176418.21797035116
618,333473.5272,334214.96875,549735.5720663856
619,157900.6999,155538.953125,5577847.829222933
620,322438.1059,324797.15625,5565118.553835008
621,214499.2045,216892.75,5729060.060570286
622,195729.5193,193852.90625,3521676.539430357
623,153805.34478,155055.046875,1561755.326247354
624,124328.7879,125089.234375,578278.8413399322
625,260334.2251,261643.5625,1714364.4270387322
626,283079.8593,280956.59375,4508256.595816849
627,170670.2211,170740.4375,4930.342828960674
628,166144.7151,164817.671875,1761043.721018404
629,183273.6076,184752.53125,2187215.162529357
630,231354.0256,235245.09375,15140411.347944472
631,176135.2146,175588.3125,299101.90698441723
632,193714.9608,194652.84375,879624.4279007011
633,112798.7948,112924.65625,15841.104596101668
634,213769.0678,211946.609375,3321354.7108534435
635,187768.8067,186814.5625,910581.9932336141
